id,title,dateSigned,description,status,awardID,value_amount,value_currency,period_endDate,period_startDate,period_maxExtentDate,period_durationInDays,main_ocid,main_id
3267,CMC 4 24/25 - 3373,2025-04-08T09:35:35Z,APPOINTMENT OF A SERVICE PROVIDER FOR CATERING SERVICES AT PROTEA CHILD CARE CENTRE IN THE NELSON MANDELA METROPOLITAN FOR A PERIOD OF THREE (3) YEARS,active,41106,4733521,ZAR,2028-01-31T00:00:00Z,2025-02-01T00:00:00Z,2028-01-31T00:00:00Z,1094,ocds-9t57fa-100587,ocds-9t57fa-100587-2024-09-03T00:00:00Z
2249,P1/AUX/PC/01/22,2024-09-13T12:27:45Z,"SUPPLY, DELIVERY, COMMISSIONING && MAINTENANCE OF OFFICE AUTOMATION SOLUTION - TELECOMMUNICATIONS OFFICE",active,35169,418678,ZAR,2025-11-30T00:00:00Z,2022-12-01T00:00:00Z,2025-11-30T00:00:00Z,1095,ocds-9t57fa-101883,ocds-9t57fa-101883-2022-08-08T00:00:00Z
2257,P1/AUX/PC/05/22,2024-09-15T12:08:36Z,"SUPPLY; DELIVERY; COMMISSIONING & MAINTENANCE OF OFFICE AUTOMATION SOLUTION - FINANCE OFFICE
",active,35234,418678,ZAR,2025-11-30T00:00:00Z,2022-12-01T00:00:00Z,2025-11-30T00:00:00Z,1095,ocds-9t57fa-101987,ocds-9t57fa-101987-2022-08-08T00:00:00Z
2261,P1/AUX/PC/05/23,2024-09-15T14:02:10Z,"SUPPLY; DELIVERY; COMMISSIONING & MAINTENANCE OF OFFICE AUTOMATION SOLUTION ULUNDI 
",active,35239,411947,ZAR,2026-04-30T00:00:00Z,2023-05-01T00:00:00Z,2026-04-30T00:00:00Z,1095,ocds-9t57fa-101992,ocds-9t57fa-101992-2022-12-23T00:00:00Z
2332,63101,2024-10-03T09:29:27Z,WORK READINESS PROGRAMME FOR 50 GRADUATES,active,36062,0,ZAR,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0,ocds-9t57fa-103522,ocds-9t57fa-103522-2024-08-06T00:00:00Z
2380,63390,2024-10-08T12:54:13Z,SALGA Branded Lanyards for PMAs and other x20 2000.,active,36377,339940,ZAR,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0,ocds-9t57fa-104120,ocds-9t57fa-104120-2024-09-23T00:00:00Z
3309,13 DARD 19/2024,2025-04-11T15:53:44Z,13 DARD 19/2024: UPGRADE OF ELECTRICITY INFRASTRUCTURE PHASE TWO AT TAUNG AGRICULTURAL COLLEGE,pending,40160,1649479,ZAR,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0,ocds-9t57fa-104765,ocds-9t57fa-104765-2024-10-14T00:00:00Z
2429,OA 44-4602,2024-10-15T12:37:40Z,Plumbing General Maintenance,active,36803,300000,ZAR,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0,ocds-9t57fa-104902,ocds-9t57fa-104902-2024-05-13T00:00:00Z
2610,OR-001251,2024-11-14T12:37:55Z,LOGIS PAYMENT,active,38369,198621,ZAR,2026-03-31T00:00:00Z,2023-04-01T00:00:00Z,2026-03-31T00:00:00Z,1095,ocds-9t57fa-105674,ocds-9t57fa-105674-2023-04-24T00:00:00Z
3296,AJ-350252,2025-04-10T13:59:04Z," APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE OFFICE 365 BACKUP SOLUTION FOR THE DEPARTMENT OF PUBLIC SERVICE AND ADMINISTRATION FOR A PERIOD OF THIRTY-SIX (36) MONTHS.



",active,43693,2999995,ZAR,2028-04-07T00:00:00Z,2025-04-08T00:00:00Z,2028-04-07T00:00:00Z,1095,ocds-9t57fa-107025,ocds-9t57fa-107025-2024-11-05T00:00:00Z
2540,3600033906,2024-11-05T13:11:41Z,Rental of Mobile Toilets,active,37920,899997,ZAR,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0,ocds-9t57fa-107113,ocds-9t57fa-107113-2024-09-17T00:00:00Z
3691,SK8/3/1-24/2024/2025,2025-08-14T09:49:18Z,APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF PRODUCTION EQUIPMENT’S-PRESSURE SPRAYERS (ONCE OFF).,active,50502,227240,ZAR,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0,ocds-9t57fa-107908,ocds-9t57fa-107908-2024-11-12T00:00:00Z
2601,OR-001177,2024-11-12T14:42:19Z,Renewal of Renewal of SITA Manage LAN and and Desktop Support at Pretoria,active,38251,6205635,ZAR,2025-03-31T00:00:00Z,2022-04-01T00:00:00Z,2025-03-31T00:00:00Z,1095,ocds-9t57fa-107956,ocds-9t57fa-107956-2022-03-01T00:00:00Z
2777,31-36787,2024-12-04T16:32:40Z,ARA FUNCTION,active,38432,120000,ZAR,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0,ocds-9t57fa-108404,ocds-9t57fa-108404-2024-10-29T00:00:00Z
2860,P1/SCM/01/24,2024-12-12T18:29:30Z,APPOINTMENT OF TOURVEST FOR TRAVEL RELATED SERVICES FOR A PERIOD OF SIX MONTHS,active,39961,1,ZAR,2025-03-31T00:00:00Z,2024-10-01T00:00:00Z,2025-03-31T00:00:00Z,181,ocds-9t57fa-110937,ocds-9t57fa-110937-2024-09-30T00:00:00Z
2937,DARD 09/20A,2025-01-24T14:50:49Z,Appointment of a service provider to oversee the implementation of the Agri-hubs,active,41506,31678567,ZAR,2025-10-25T00:00:00Z,2021-04-01T00:00:00Z,2025-10-25T00:00:00Z,1668,ocds-9t57fa-112650,ocds-9t57fa-112650-2020-07-10T00:00:00Z
3178,WS-7622,2025-03-13T11:32:24Z,"PROVISION OF REFUSE COLLECTION AND STREET CLEANING SERVICES IN MPUMALANGA UNITS 1,2 MLABA VILLAGE AND EMALANGENI  FOR A PERIOD OF 36 MONTHS",active,44915,21860519,ZAR,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,0,ocds-9t57fa-117182,ocds-9t57fa-117182-2023-04-11T00:00:00Z
3189,SCMU7-24/25-0009,2025-03-17T10:59:27Z,Appointment of a service provider to conducting Disaster Risk Assessment through satellite imagery amongst other things,active,44879,3630000,ZAR,2026-11-30T00:00:00Z,2024-11-01T00:00:00Z,2026-11-30T00:00:00Z,759,ocds-9t57fa-117355,ocds-9t57fa-117355-2025-03-11T00:00:00Z
