id,title,description,status,value_amount,value_currency,main_ocid,main_id
8580,GROEN MINTIRHO,EME,active,0.0,ZAR,ocds-9t57fa-1003,ocds-9t57fa-1003-2021-05-17T00:00:00Z
37013, (AFRICAN WEALTH EMPOWERMENT NETWORK (AWEN)),EME,active,5977550.0,ZAR,ocds-9t57fa-100504,ocds-9t57fa-100504-2024-09-02T00:00:00Z
38439, (IMSIMBI TRAINING),QSE,active,31521960.0,ZAR,ocds-9t57fa-100557,ocds-9t57fa-100557-2024-09-03T00:00:00Z
41106, (MSEETO PROJECTS),EME,active,473352120.0,ZAR,ocds-9t57fa-100587,ocds-9t57fa-100587-2024-09-03T00:00:00Z
40261, (IN2IT),EME,active,722758655.0,ZAR,ocds-9t57fa-100636,ocds-9t57fa-100636-2024-09-03T00:00:00Z
39740, (CAPS M TRADING AND PROJECTS),QSE,active,0.0,ZAR,ocds-9t57fa-100643,ocds-9t57fa-100643-2024-09-03T00:00:00Z
39101, (PULE AND VIC CONSTRUCTION AND PROJECTS),EME,active,19205000.0,ZAR,ocds-9t57fa-100649,ocds-9t57fa-100649-2024-09-03T00:00:00Z
46652, MASANA ,EME,active,24520866.0,ZAR,ocds-9t57fa-100664,ocds-9t57fa-100664-2024-09-03T00:00:00Z
2583,Naidu Consulting,EME,active,0.0,ZAR,ocds-9t57fa-10086,ocds-9t57fa-10086-2021-10-26T00:00:00Z
1984,Mvela Electrolights,EME,active,0.0,ZAR,ocds-9t57fa-10123,ocds-9t57fa-10123-2021-10-26T00:00:00Z
37577, (NDLELA KUNENE),EME,active,17939100.0,ZAR,ocds-9t57fa-101396,ocds-9t57fa-101396-2024-09-10T00:00:00Z
37313, (NARROW PATH INVESTMENTS),EME,active,196381820.0,ZAR,ocds-9t57fa-101400,ocds-9t57fa-101400-2024-09-10T00:00:00Z
42419, (AT GEDEZAR),EME,active,52038422.0,ZAR,ocds-9t57fa-101422,ocds-9t57fa-101422-2024-09-16T00:00:00Z
44327, (MODISE GARDEN LAND SCAPING AND CLEANING SERVICES),EME,active,165870252.0,ZAR,ocds-9t57fa-101431,ocds-9t57fa-101431-2024-09-10T00:00:00Z
35169, (BIDVEST OFFICE),EME,active,41867892.0,ZAR,ocds-9t57fa-101883,ocds-9t57fa-101883-2022-08-08T00:00:00Z
35234, (BIDVEST OFFICE),EME,active,41867892.0,ZAR,ocds-9t57fa-101987,ocds-9t57fa-101987-2022-08-08T00:00:00Z
35239, (BIDVEST OFFICE),EME,active,41194764.0,ZAR,ocds-9t57fa-101992,ocds-9t57fa-101992-2022-12-23T00:00:00Z
51628,ACHUMILE AMANGWANE INVESTMENTS,EME,active,23419000.0,ZAR,ocds-9t57fa-102180,ocds-9t57fa-102180-2024-09-17T00:00:00Z
