id,name,main_ocid,main_id,awards_id
0,GROEN MINTIRHO,ocds-9t57fa-1003,ocds-9t57fa-1003-2021-05-17T00:00:00Z,8580
33401, (AFRICAN WEALTH EMPOWERMENT NETWORK (AWEN)),ocds-9t57fa-100504,ocds-9t57fa-100504-2024-09-02T00:00:00Z,37013
2308, (IMSIMBI TRAINING),ocds-9t57fa-100557,ocds-9t57fa-100557-2024-09-03T00:00:00Z,38439
817923, (MSEETO PROJECTS),ocds-9t57fa-100587,ocds-9t57fa-100587-2024-09-03T00:00:00Z,41106
906487, (IN2IT),ocds-9t57fa-100636,ocds-9t57fa-100636-2024-09-03T00:00:00Z,40261
6035, (CAPS M TRADING AND PROJECTS),ocds-9t57fa-100643,ocds-9t57fa-100643-2024-09-03T00:00:00Z,39740
215049, (PULE AND VIC CONSTRUCTION AND PROJECTS),ocds-9t57fa-100649,ocds-9t57fa-100649-2024-09-03T00:00:00Z,39101
18428, MASANA ,ocds-9t57fa-100664,ocds-9t57fa-100664-2024-09-03T00:00:00Z,46652
0,Naidu Consulting,ocds-9t57fa-10086,ocds-9t57fa-10086-2021-10-26T00:00:00Z,2583
0,Mvela Electrolights,ocds-9t57fa-10123,ocds-9t57fa-10123-2021-10-26T00:00:00Z,1984
1132840, (NDLELA KUNENE),ocds-9t57fa-101396,ocds-9t57fa-101396-2024-09-10T00:00:00Z,37577
1009006, (NARROW PATH INVESTMENTS),ocds-9t57fa-101400,ocds-9t57fa-101400-2024-09-10T00:00:00Z,37313
138179, (AT GEDEZAR),ocds-9t57fa-101422,ocds-9t57fa-101422-2024-09-16T00:00:00Z,42419
1046626, (MODISE GARDEN LAND SCAPING AND CLEANING SERVICES),ocds-9t57fa-101431,ocds-9t57fa-101431-2024-09-10T00:00:00Z,44327
9276, (BIDVEST OFFICE),ocds-9t57fa-101883,ocds-9t57fa-101883-2022-08-08T00:00:00Z,35169
9276, (BIDVEST OFFICE),ocds-9t57fa-101987,ocds-9t57fa-101987-2022-08-08T00:00:00Z,35234
9276, (BIDVEST OFFICE),ocds-9t57fa-101992,ocds-9t57fa-101992-2022-12-23T00:00:00Z,35239
1116836,ACHUMILE AMANGWANE INVESTMENTS,ocds-9t57fa-102180,ocds-9t57fa-102180-2024-09-17T00:00:00Z,51628
408623, (MIMISA ENGINEERING),ocds-9t57fa-102185,ocds-9t57fa-102185-2024-09-17T00:00:00Z,40155
24056, (SAKH'IKHAYA SUPPLIERS),ocds-9t57fa-102228,ocds-9t57fa-102228-2024-09-17T00:00:00Z,39613
192973, KZK GENERAL TRADING,ocds-9t57fa-102278,ocds-9t57fa-102278-2024-09-17T00:00:00Z,44951
0,Fezi Auditors and Consultants,ocds-9t57fa-1025,ocds-9t57fa-1025-2021-05-17T00:00:00Z,5152
336402, CAPE SILICA SUPPLIERS,ocds-9t57fa-102729,ocds-9t57fa-102729-2024-09-23T00:00:00Z,43783
403510,SKY METRO EQUIPMENT,ocds-9t57fa-102747,ocds-9t57fa-102747-2024-09-23T00:00:00Z,51739
117223, (GEORGE FARMER CONSULTANCY),ocds-9t57fa-102791,ocds-9t57fa-102791-2024-09-23T00:00:00Z,40482
1358475,MAK DISTRIBUTION,ocds-9t57fa-102804,ocds-9t57fa-102804-2024-09-23T00:00:00Z,51291
570992, (PLAN ASSOCIATES DEVELOPMENT PLANNERS),ocds-9t57fa-102817,ocds-9t57fa-102817-2024-09-24T00:00:00Z,41330
0,FEZI Auditors and Consultants,ocds-9t57fa-1029,ocds-9t57fa-1029-2021-05-17T00:00:00Z,5151
243898, K 2 CIVIL AND CONSTRUCTION,ocds-9t57fa-103313,ocds-9t57fa-103313-2024-10-01T00:00:00Z,44615
78403,NTENDELEKO ZODUMO,ocds-9t57fa-103335,ocds-9t57fa-103335-2024-10-01T00:00:00Z,51645
579210,DATA MANAGEMENT PROFESSIONALS SOUTH AFRICA,ocds-9t57fa-103354,ocds-9t57fa-103354-2024-10-01T00:00:00Z,42182
38076,FITO AND SONS CONSTRUCTION AND PROJECTS,ocds-9t57fa-103385,ocds-9t57fa-103385-2024-10-01T00:00:00Z,50401
1141429, (ML INDUSTRIES),ocds-9t57fa-103394,ocds-9t57fa-103394-2024-10-01T00:00:00Z,46133
1315503, (MMAKATJILA SUPPLY AND PROJECTS),ocds-9t57fa-103432,ocds-9t57fa-103432-2024-10-01T00:00:00Z,41224
782169, (RIFUMO PROFESSIONAL SERVICES),ocds-9t57fa-103522,ocds-9t57fa-103522-2024-08-06T00:00:00Z,36062
978190, (ZAMANONINA TRADING AND PROJECTS),ocds-9t57fa-104078,ocds-9t57fa-104078-2024-10-08T00:00:00Z,46760
114411, (DITSHATSHO TRADING AND PROJECTS),ocds-9t57fa-104120,ocds-9t57fa-104120-2024-09-23T00:00:00Z,36377
459046, (G2 NETGROUP),ocds-9t57fa-104698,ocds-9t57fa-104698-2024-10-14T00:00:00Z,40260
20336, (EXCELLENT ELECTRICAL PROJECTS),ocds-9t57fa-104765,ocds-9t57fa-104765-2024-10-14T00:00:00Z,40160
49935, (TRIGON TRAVEL),ocds-9t57fa-104860,ocds-9t57fa-104860-2024-10-15T00:00:00Z,39633
138420, (KALRIK CONTRACTING SERVICES),ocds-9t57fa-104902,ocds-9t57fa-104902-2024-05-13T00:00:00Z,36803
89681,LIVEWIRE ENGINEERING AND CONSULTING,ocds-9t57fa-104934,ocds-9t57fa-104934-2024-10-15T00:00:00Z,43401
9347, (SIZWE AFRICA IT GROUP (PTY) LTD),ocds-9t57fa-105204,ocds-9t57fa-105204-2024-09-10T00:00:00Z,36920
107991, (STATE INFORMATION TECHNOLOGY AGENCY),ocds-9t57fa-105674,ocds-9t57fa-105674-2023-04-24T00:00:00Z,38369
649021,TRUST ONE GUARD SECURITY SERVICES,ocds-9t57fa-106373,ocds-9t57fa-106373-2024-10-29T00:00:00Z,52730
5199, (LUTAK CONSULTING),ocds-9t57fa-106469,ocds-9t57fa-106469-2024-10-29T00:00:00Z,43185
165498, (BANABANZI PROJECTS),ocds-9t57fa-106989,ocds-9t57fa-106989-2024-11-04T00:00:00Z,46132
19669, EDGE CONSULTING,ocds-9t57fa-107025,ocds-9t57fa-107025-2024-11-05T00:00:00Z,43693
38195,JOHNBAK SOLUTIONS,ocds-9t57fa-107092,ocds-9t57fa-107092-2024-11-05T00:00:00Z,49171
595617, (ALOE GUEST MANOR),ocds-9t57fa-107105,ocds-9t57fa-107105-2024-11-05T00:00:00Z,40289
162928, (JUSBEN CONSULTING ENGINEERS),ocds-9t57fa-107109,ocds-9t57fa-107109-2024-11-05T00:00:00Z,43622
449879, (NTHAOBA ENTERPRISE),ocds-9t57fa-107113,ocds-9t57fa-107113-2024-09-17T00:00:00Z,37920
950509, (VHULUVHI GROUP),ocds-9t57fa-107126,ocds-9t57fa-107126-2024-11-05T00:00:00Z,44996
1360717,MADIJOLANE HOLDINGS,ocds-9t57fa-107908,ocds-9t57fa-107908-2024-11-12T00:00:00Z,50502
1061391, AARIVA,ocds-9t57fa-107945,ocds-9t57fa-107945-2024-11-12T00:00:00Z,45390
107991, (STATE INFORMATION TECHNOLOGY AGENCY),ocds-9t57fa-107956,ocds-9t57fa-107956-2022-03-01T00:00:00Z,38251
29310, (LEXICON),ocds-9t57fa-107962,ocds-9t57fa-107962-2024-11-12T00:00:00Z,41059
60879, BOTHLABATSATSI GROUP 001,ocds-9t57fa-108016,ocds-9t57fa-108016-2024-11-12T00:00:00Z,44932
25887, (LOGIKAL EVENT MANAGEMENT),ocds-9t57fa-108404,ocds-9t57fa-108404-2024-10-29T00:00:00Z,38432
4083, (TRAVEL WITH FLAIR),ocds-9t57fa-108779,ocds-9t57fa-108779-2024-11-19T00:00:00Z,43017
56424,UFEZILE TRADING ENTERPRISE,ocds-9t57fa-109429,ocds-9t57fa-109429-2024-11-26T00:00:00Z,47830
165424,F F S REFINERS,ocds-9t57fa-109470,ocds-9t57fa-109470-2024-11-26T00:00:00Z,50556
475763, CRANE COR AFRICA,ocds-9t57fa-109487,ocds-9t57fa-109487-2024-11-26T00:00:00Z,45100
476805, CLIMO SOLUTIONS,ocds-9t57fa-109515,ocds-9t57fa-109515-2024-11-26T00:00:00Z,43805
1050706, (HAMBO LWETHU TRAVEL),ocds-9t57fa-109530,ocds-9t57fa-109530-2024-11-26T00:00:00Z,41881
303757, (COJEN SUPPLIES),ocds-9t57fa-109548,ocds-9t57fa-109548-2024-11-26T00:00:00Z,40219
35672,BOBCON BUILDERS AND RENOVATORS,ocds-9t57fa-109566,ocds-9t57fa-109566-2024-11-26T00:00:00Z,48654
164339,POWERCOMM SOLUTIONS,ocds-9t57fa-110047,ocds-9t57fa-110047-2024-12-02T00:00:00Z,48714
37785,LAMELA CONSULTING,ocds-9t57fa-110056,ocds-9t57fa-110056-2024-12-02T00:00:00Z,48717
20069,Ernst & Young Advisory Services (Pty) Ltd,ocds-9t57fa-110083,ocds-9t57fa-110083-2024-12-03T00:00:00Z,52349
0,Delta Facilities Management,ocds-9t57fa-11015,ocds-9t57fa-11015-2021-11-08T00:00:00Z,3508
13053, (TOURVEST HOLDINGS),ocds-9t57fa-110937,ocds-9t57fa-110937-2024-09-30T00:00:00Z,39961
416280,REFILWE S K PRODUCTIONS,ocds-9t57fa-111066,ocds-9t57fa-111066-2024-12-14T00:00:00Z,51747
328459, (SISIVE TRADING AND PROJECTS),ocds-9t57fa-111078,ocds-9t57fa-111078-2024-08-13T00:00:00Z,39996
459411, OMNI K TRADING AND PROJECTS,ocds-9t57fa-111107,ocds-9t57fa-111107-2024-12-13T00:00:00Z,44790
456679,MSWS COUNSELLING AND SOCIAL WORK SERVICES,ocds-9t57fa-111182,ocds-9t57fa-111182-2024-12-15T00:00:00Z,52305
357238, SEDITH HOLDINGS,ocds-9t57fa-111214,ocds-9t57fa-111214-2024-12-17T00:00:00Z,44805
539566, (OPEN HOUSE CONSULTING),ocds-9t57fa-111289,ocds-9t57fa-111289-2024-10-15T00:00:00Z,40175
68962,CCG SYSTEMS,ocds-9t57fa-111331,ocds-9t57fa-111331-2024-12-20T00:00:00Z,57071
983204,YATSHAMA IT AND STATIONERY,ocds-9t57fa-111351,ocds-9t57fa-111351-2024-12-24T00:00:00Z,52885
0,HAMISA SAFETY EQUIPMENT SUPPLIES,ocds-9t57fa-11142,ocds-9t57fa-11142-2021-11-09T00:00:00Z,2513
521228, AFRICANISM SECURITY SERVICES,ocds-9t57fa-112180,ocds-9t57fa-112180-2025-01-21T00:00:00Z,44910
2366,URBAN-ECON DEVELOPMENT ECONOMISTS,ocds-9t57fa-112243,ocds-9t57fa-112243-2025-01-21T00:00:00Z,52879
861946, (AGRI EXPERTS JV),ocds-9t57fa-112650,ocds-9t57fa-112650-2020-07-10T00:00:00Z,41506
172823,NAVI PROFESSIONAL CONSULTING,ocds-9t57fa-112917,ocds-9t57fa-112917-2025-01-28T00:00:00Z,51542
572094, INTANDO YODLAMINI TRADING,ocds-9t57fa-112941,ocds-9t57fa-112941-2025-01-28T00:00:00Z,44637
462068, (TRAINERS WITHOUT BORDERS),ocds-9t57fa-112958,ocds-9t57fa-112958-2025-01-28T00:00:00Z,43311
