id,name,main_ocid,main_id,tender_id
25031,"Tee Central (Pty) Ltd, Kamo Nova (Pty) Ltd, Zwafula (Pty) Ltd, Bold Solution Unlimited, Grazia Holdings, ITP Continuous Improvement, Open House Consulting, Fendrix Enterprises, Butilesello Multimedia, Jirehel Engineering Services Pty LTD",ocds-9t57fa-100611,ocds-9t57fa-100611-2024-09-03T00:00:00Z,100611
25022,"Carl and Mell Trading, Nature Sons, Rimulia Holdings, Gabriel & Michael, Giddy Photo Worx, Dynamo Stars, Nobesotho Trading",ocds-9t57fa-101412,ocds-9t57fa-101412-2024-09-10T00:00:00Z,101412
21371,MAAA0007692 ,ocds-9t57fa-101883,ocds-9t57fa-101883-2022-08-08T00:00:00Z,101883
21395,MAAA0007692 ,ocds-9t57fa-101987,ocds-9t57fa-101987-2022-08-08T00:00:00Z,101987
21400,MAAA0007692 ,ocds-9t57fa-101992,ocds-9t57fa-101992-2022-12-23T00:00:00Z,101992
22046,VREDENDAL BESPROEIING,ocds-9t57fa-102729,ocds-9t57fa-102729-2024-09-23T00:00:00Z,102729
21804,MAAA0155474 - (KALRIK CONTRACTING SERVICES),ocds-9t57fa-104902,ocds-9t57fa-104902-2024-05-13T00:00:00Z,104902
21882,MAAA0003117 - (SIZWE AFRICA IT GROUP (PTY) LTD),ocds-9t57fa-105204,ocds-9t57fa-105204-2024-09-10T00:00:00Z,105204
21932,MAAA00146218(State  information technology  agency),ocds-9t57fa-105674,ocds-9t57fa-105674-2023-04-24T00:00:00Z,105674
22716,NOROLOR (PTY) LTD,ocds-9t57fa-106390,ocds-9t57fa-106390-2024-10-29T00:00:00Z,106390
22395,AGS Records Management,ocds-9t57fa-106438,ocds-9t57fa-106438-2024-10-29T00:00:00Z,106438
24487,MAAA0070396 - (SWIFT SILLIKER),ocds-9t57fa-106613,ocds-9t57fa-106613-2024-10-29T00:00:00Z,106613
22313,MAAA0139351 - (COASTLANDS UMHLANGA HOTEL),ocds-9t57fa-108404,ocds-9t57fa-108404-2024-10-29T00:00:00Z,108404
26075,Bagaka Consulting Services,ocds-9t57fa-110083,ocds-9t57fa-110083-2024-12-03T00:00:00Z,110083
22750,MAAA0012268 - (TOURVEST HOLDINGS),ocds-9t57fa-110937,ocds-9t57fa-110937-2024-09-30T00:00:00Z,110937
23149,MAAA0372543,ocds-9t57fa-111107,ocds-9t57fa-111107-2024-12-13T00:00:00Z,111107
23155,MAAA0697628 - (EDWORTH PROPERTIES AND AUCTIONEERS),ocds-9t57fa-111171,ocds-9t57fa-111171-2024-12-14T00:00:00Z,111171
