award_id,award_value,main_ocid,supplier_name,ocid,buyer_name,province,category,method,tender_date,year,month,quarter,contract_value,duration_days,has_contract,log_value,is_peak_month,is_year_end_quarter,duration_years,duration_band,province_quarter,prov_cat_q,supplier_prior_awards,is_new_supplier,buyer_mean,buyer_std,buyer_count,days_since_supplier_last,contract_value_capped,anomaly_flag,log_zscore,is_statistical_outlier,is_quarterly_spike,anomaly_severity
46555,170644475.0,ocds-9t57fa-115738, ,ocds-9t57fa-115738,Industrial Development Corporation of South Africa Limited,National,Unknown,open,2025-02-24,2025,2,1,170644475.0,0.0,0,18.955092862444392,0,0,0.0,,National_Q1,National_Unknown_Q1,1,1,907037024.9615384,1286536260.8521006,25,0.0,170644475.0,"FLAG 3 — Single large award, no prior history (>R50M)",0.8485779046072504,0,0,5
34617,6161962667.0,ocds-9t57fa-61980, (115 ELECTRICAL SOLUTIONS),ocds-9t57fa-61980,Ekurhuleni Water Care Company (ERWAT),Gauteng,Services,open,2023-08-01,2023,8,3,6161962667.0,0.0,0,22.541661178679945,1,0,0.0,,Gauteng_Q3,Gauteng_Services_Q3,1,1,2722367565.575,5832805823.14054,10,0.0,6161962667.0,"FLAG 3 — Single large award, no prior history (>R50M)",2.1648075104573308,0,0,5
41986,153500100.0,ocds-9t57fa-93676, (189 MAIN ROAD MOTORS),ocds-9t57fa-93676,SALDANHA BAY MUNICIPALITY,Western Cape,Goods,open,2024-06-25,2024,6,2,153500100.0,0.0,0,18.849211782971764,0,0,0.0,,Western Cape_Q2,Western Cape_Goods_Q2,1,1,174565116.4,424623880.0603706,45,0.0,153500100.0,"FLAG 3 — Single large award, no prior history (>R50M)",1.0444885545368794,0,0,5
30725,5000000.0,ocds-9t57fa-80393, (22 ON SLOANE),ocds-9t57fa-80393,Small Enterprise Development Agency,Gauteng,Services,open,2024-02-05,2024,2,1,5000000.0,0.0,0,15.424948670398354,0,0,0.0,,Gauteng_Q1,Gauteng_Services_Q1,1,1,45070834.0,68429242.62610793,4,0.0,5000000.0,Normal,0.5934741223621108,0,0,0
39044,318983867.0,ocds-9t57fa-92380, (4B PROTECTION SERVICES),ocds-9t57fa-92380,Railway Safety Regulator,National,Services,open,2024-06-10,2024,6,2,318983867.0,0.0,0,19.580651088937472,0,0,0.0,,National_Q2,National_Services_Q2,1,1,318983867.0,,1,0.0,318983867.0,"FLAG 3 — Single large award, no prior history (>R50M)",1.0081651207743392,0,0,5
44289,15080000.0,ocds-9t57fa-83332, (515 TRADING),ocds-9t57fa-83332,Kwazulu Natal - Transport,Kwazulu-Natal,Works,open,2024-03-04,2024,3,1,15080000.0,0.0,0,16.528879986857078,0,0,0.0,,Kwazulu-Natal_Q1,Kwazulu-Natal_Works_Q1,1,1,427071300.3982301,1657954822.842681,112,0.0,15080000.0,Normal,0.3490192324906522,0,0,0
28947,1360559.0,ocds-9t57fa-80305, (5STAR CLEANING SERVICES),ocds-9t57fa-80305,"Department of Agriculture, Land Reform & Rural Development",Gauteng,Services,open,2024-02-05,2024,2,1,1360559.0,0.0,0,14.123406937666296,0,0,0.0,,Gauteng_Q1,Gauteng_Services_Q1,1,1,211191477.3529412,880738355.6717646,33,0.0,1360559.0,Normal,1.0979231431094274,0,0,0
38056,17972430.0,ocds-9t57fa-107485, (A AND C COSMIC SOLUTIONS),ocds-9t57fa-107485,Moses Kotane Institute,Kwazulu-Natal,Services,open,2024-09-10,2024,9,3,179724.0,378.0,1,12.099183183852073,0,0,1.0349075975359343,1-2yr,Kwazulu-Natal_Q3,Kwazulu-Natal_Services_Q3,1,1,397168.0,436788.4063846017,3,0.0,179724.0,Normal,1.239123388330445,0,0,0
40552,2000000.0,ocds-9t57fa-110041, (A AND E HR CONSULTING),ocds-9t57fa-110041,Cape Winelands District Municipality,Western Cape,Unknown,open,2024-12-02,2024,12,4,2000000.0,0.0,0,14.508658238524095,0,1,0.0,,Western Cape_Q4,Western Cape_Unknown_Q4,1,1,35263471.291666664,82495982.3746491,24,0.0,2000000.0,Normal,0.7053884334018913,0,0,0
38518,4336670313.0,ocds-9t57fa-90578, (A E T SECURITY SERVICES),ocds-9t57fa-90578,Ubuhlebezwe Local Municipality,Kwazulu-Natal,Services,open,2024-05-20,2024,5,2,4336670313.0,0.0,0,22.190372681847712,0,0,0.0,,Kwazulu-Natal_Q2,Kwazulu-Natal_Services_Q2,1,1,285364954.69166666,1019791178.0881436,18,0.0,4336670313.0,"FLAG 3 — Single large award, no prior history (>R50M)",2.0501115795700136,0,0,5
36914,1035570.0,ocds-9t57fa-104919, (A MOOS FOR INTERIOR AND EXTERIOR MAINTENANCE),ocds-9t57fa-104919,South African Revenue Service,Western Cape,Goods,open,2024-08-05,2024,8,3,103557.0,24.0,1,11.547887121203127,1,0,0.06570841889117043,<3mo,Western Cape_Q3,Western Cape_Goods_Q3,1,1,47569906.18108911,352511026.62213624,198,0.0,103557.0,FLAG 7 — Quarterly spend spike (>2× provincial average),1.9666964107434555,0,1,1
37264,13281067.0,ocds-9t57fa-102644, (A T C),ocds-9t57fa-102644,Stellenbosch Municipality,Western Cape,Works,direct,2024-09-20,2024,9,3,13281067.0,0.0,0,16.40185012046566,0,0,0.0,,Western Cape_Q3,Western Cape_Works_Q3,1,1,326755976.0409091,862713285.9275595,66,0.0,13281067.0,FLAG 7 — Quarterly spend spike (>2× provincial average),0.4614923024487301,0,1,1
25875,123696.0,ocds-9t57fa-86352, (A T K SIGNS SOUTH AFRICA),ocds-9t57fa-86352,South African Revenue Service,Western Cape,Services,open,2023-06-13,2023,6,2,123696.0,57.0,1,11.725590305863369,0,0,0.15605749486652978,<3mo,Western Cape_Q2,Western Cape_Services_Q2,1,1,47569906.18108911,352511026.62213624,198,0.0,123696.0,Normal,1.6959790458719224,0,0,0
33288,79934094.0,ocds-9t57fa-85371, (A T KEARNEY),ocds-9t57fa-85371,ESKOM,National,Unknown,open,2024-03-18,2024,3,1,79934094.0,0.0,0,18.196713040618157,0,0,0.0,,National_Q1,National_Unknown_Q1,1,1,3721916694.204792,16708501926.578915,180,0.0,79934094.0,"FLAG 3 — Single large award, no prior history (>R50M)",0.5457150183488803,0,0,5
38972,25000000.0,ocds-9t57fa-91874, (A W V PROJECT MANAGEMENT),ocds-9t57fa-91874,SALDANHA BAY MUNICIPALITY,Western Cape,Goods,open,2024-06-04,2024,6,2,25000000.0,0.0,0,17.034386422832473,0,0,0.0,,Western Cape_Q2,Western Cape_Goods_Q2,1,1,174565116.4,424623880.0603706,45,0.0,25000000.0,Normal,0.29602507808367046,0,0,0
35643,3010550.0,ocds-9t57fa-49318, (AAA BEE VERIFICATION AGENCY),ocds-9t57fa-49318,City of Cape Town,Western Cape,Services,open,2023-03-17,2023,3,1,3010550.0,0.0,0,14.917633676450672,0,0,0.0,,Western Cape_Q1,Western Cape_Services_Q1,1,1,197522545.8,263864906.08881053,10,0.0,3010550.0,Normal,0.6263863356374821,0,0,0
41405,13250600.0,ocds-9t57fa-93962, (ABACUS FCA),ocds-9t57fa-93962,Coega Development Cooperation,Eastern Cape,Services,open,2024-06-28,2024,6,2,13250600.0,0.0,0,16.399553467858407,0,0,0.0,,Eastern Cape_Q2,Eastern Cape_Services_Q2,1,1,1091242211.1516666,2383903074.6478977,6,0.0,13250600.0,Normal,0.08110851835606991,0,0,0
44906,110358850.0,ocds-9t57fa-111079, (ABAKGOMA TRADING AND PROJECT),ocds-9t57fa-111079,Limpopo - Provincial Treasury,Limpopo,Goods,selective,2024-12-13,2024,12,4,110358850.0,0.0,0,18.519247895878227,0,1,0.0,,Limpopo_Q4,Limpopo_Goods_Q4,1,1,110358850.0,,1,0.0,110358850.0,FLAG 1 — Restricted method above R15M,0.5911701175333299,0,0,2
28782,30000000.0,ocds-9t57fa-62744, (ABAKHOLWE COMMUNITY DEVELOPERS),ocds-9t57fa-62744,National Home Builders Registration Council,Limpopo,Services,open,2023-08-08,2023,8,3,30000000.0,0.0,0,17.216707972959764,1,0,0.0,,Limpopo_Q3,Limpopo_Services_Q3,1,1,18430463.85714286,13034736.633025916,21,0.0,30000000.0,Normal,0.008953476840164672,0,0,0
31452,6192990.0,ocds-9t57fa-62800, (ABAPHATHIBEMALI TRADING),ocds-9t57fa-62800,Kwazulu Natal - Department of Agriculture and Rural Develeopment,Kwazulu-Natal,Services,open,2023-08-08,2023,8,3,12889076.0,1093.0,1,16.3718907664555,1,0,2.9924709103353866,2-3yr,Kwazulu-Natal_Q3,Kwazulu-Natal_Services_Q3,1,1,98680010.4,196762027.01055804,15,0.0,12889076.0,Normal,0.15357062371878769,0,0,0
27935,997326.0,ocds-9t57fa-61196, (ABAPHUMELELI TRADING 702),ocds-9t57fa-61196,"Department of Agriculture, Land Reform & Rural Development",Kwazulu-Natal,Services,open,2023-07-24,2023,7,3,997326.0,0.0,0,13.812833979120853,0,0,0.0,,Kwazulu-Natal_Q3,Kwazulu-Natal_Services_Q3,1,1,211191477.3529412,880738355.6717646,33,0.0,997326.0,Normal,0.680556916093642,0,0,0
37413,462556763.0,ocds-9t57fa-57305, (ABB SOUTH AFRICA),ocds-9t57fa-57305,Stellenbosch Municipality,Western Cape,Services,open,2023-06-13,2023,6,2,462556763.0,0.0,0,19.952279840358653,0,0,0.0,,Western Cape_Q2,Western Cape_Services_Q2,1,1,326755976.0409091,862713285.9275595,66,0.0,462556763.0,"FLAG 3 — Single large award, no prior history (>R50M)",1.0606273450491235,0,0,5
39993,68998168.0,ocds-9t57fa-91863, (ABEC ADVANCED INFRASTRUCTURE),ocds-9t57fa-91863,National Credit Regulator,National,Unknown,open,2024-06-04,2024,6,2,68998168.0,0.0,0,18.049590525977557,0,0,0.0,,National_Q2,National_Unknown_Q2,1,1,237558058.0,243078796.03139892,5,0.0,68998168.0,"FLAG 3 — Single large award, no prior history (>R50M)",0.4869608846875408,0,0,5
36034,122777220.0,ocds-9t57fa-65220, (ABT TELECOMS),ocds-9t57fa-65220,Rand Water,Gauteng,Works,open,2023-08-29,2023,8,3,122777220.0,0.0,0,18.625882059727996,1,0,0.0,,Gauteng_Q3,Gauteng_Works_Q3,1,1,315043261.5,552988827.8040116,10,0.0,122777220.0,"FLAG 3 — Single large award, no prior history (>R50M)",0.5063349978900078,0,0,5
