ocid,buyer_name,province,category,method,tender_date,contract_id,contract_value,duration_days,award_id,award_value,supplier_name,year,month,quarter,log_value,duration_years,is_year_end_quarter,is_peak_month,province_quarter,prov_cat_q,supplier_prior_awards,is_new_supplier,duration_band
ocds-00000000,Dept of Health,KwaZulu-Natal,Services,open,2024-09-21,c-00000000,5283729.0,84,a-00000000,5345803.0459383745,Supplier_0032,2024,9,3,15.480142845665531,0.2299794661190965,0,0,KwaZulu-Natal_Q3,KwaZulu-Natal_Services_Q3,52,0,<3mo
ocds-00000001,Dept of Education,Eastern Cape,Works,direct,2023-06-05,c-00000001,11965851.33,69,a-00000001,12094537.900915947,Supplier_0022,2023,6,2,16.297567512057036,0.188911704312115,0,0,Eastern Cape_Q2,Eastern Cape_Works_Q2,89,0,<3mo
ocds-00000002,Dept of Public Works,Gauteng,Works,open,2025-11-04,c-00000002,22190007.94,879,a-00000002,21484889.566497166,Supplier_0367,2025,11,4,16.915152697792877,2.406570841889117,1,0,Gauteng_Q4,Gauteng_Works_Q4,11,0,2-3yr
ocds-00000003,eThekwini,Limpopo,Goods,open,2022-08-08,c-00000003,6322548.18,1297,a-00000003,6367086.722216882,Supplier_0446,2022,8,3,15.659633036064609,3.5509924709103355,0,1,Limpopo_Q3,Limpopo_Goods_Q3,10,0,>3yr
ocds-00000004,City of Cape Town,Western Cape,Services,open,2024-05-24,c-00000004,2794380.48,919,a-00000004,2658595.894175689,Supplier_0006,2024,5,2,14.843121344912001,2.516084873374401,0,0,Western Cape_Q2,Western Cape_Services_Q2,125,0,2-3yr
ocds-00000005,eThekwini,Gauteng,Services,open,2025-10-23,c-00000005,697848.31,674,a-00000005,709630.8682829582,Supplier_0328,2025,10,4,13.455758470185136,1.8453114305270362,1,0,Gauteng_Q4,Gauteng_Services_Q4,14,0,1-2yr
ocds-00000006,Dept of Education,Eastern Cape,Goods,direct,2023-10-07,c-00000006,1707106.15,1313,a-00000006,1702901.5856521055,Supplier_0002,2023,10,4,14.35031077074974,3.594798083504449,1,0,Eastern Cape_Q4,Eastern Cape_Goods_Q4,146,0,>3yr
ocds-00000007,Dept of Public Works,Western Cape,Goods,open,2025-09-21,c-00000007,7470401.96,782,a-00000007,7747897.952100108,Supplier_0284,2025,9,3,15.826459499429188,2.1409993155373033,0,0,Western Cape_Q3,Western Cape_Goods_Q3,9,0,2-3yr
ocds-00000008,City of Johannesburg,Mpumalanga,Works,open,2022-11-05,c-00000008,2472009.77,764,a-00000008,2519580.145340479,Supplier_0377,2022,11,4,14.720542454346344,2.0917180013689256,1,0,Mpumalanga_Q4,Mpumalanga_Works_Q4,11,0,2-3yr
ocds-00000009,Dept of Public Works,Gauteng,Works,open,2024-04-24,c-00000009,2597697.8,67,a-00000009,2477395.0241991584,Supplier_0295,2024,4,2,14.770136534156789,0.1834360027378508,0,0,Gauteng_Q2,Gauteng_Works_Q2,12,0,<3mo
ocds-00000010,Dept of Health,Eastern Cape,Goods,open,2024-01-06,c-00000010,10007816.26,955,a-00000010,9906561.620998202,Supplier_0014,2024,1,1,16.118877071569692,2.614647501711157,0,0,Eastern Cape_Q1,Eastern Cape_Goods_Q1,92,0,2-3yr
ocds-00000011,eThekwini,Mpumalanga,Services,open,2024-05-20,c-00000011,915495.27,1441,a-00000011,955824.9664965193,Supplier_0451,2024,5,2,13.72722156881205,3.9452429842573578,0,0,Mpumalanga_Q2,Mpumalanga_Services_Q2,12,0,>3yr
ocds-00000012,City of Johannesburg,KwaZulu-Natal,Goods,open,2022-07-12,c-00000012,598475.45,1239,a-00000012,601964.1700879561,Supplier_0346,2022,7,3,13.30214245483507,3.3921971252566734,0,0,KwaZulu-Natal_Q3,KwaZulu-Natal_Goods_Q3,13,0,>3yr
ocds-00000013,Dept of Education,North West,Works,selective,2025-09-25,c-00000013,5972.11,959,a-00000013,5676.527333550383,Supplier_0104,2025,9,3,8.695023008768992,2.625598904859685,0,0,North West_Q3,North West_Works_Q3,15,0,2-3yr
ocds-00000014,Dept of Public Works,Gauteng,Goods,open,2023-04-16,c-00000014,6356652.29,937,a-00000014,6098365.468242966,Supplier_0304,2023,4,2,15.665012584553892,2.565366187542779,0,0,Gauteng_Q2,Gauteng_Goods_Q2,16,0,2-3yr
ocds-00000015,Dept of Public Works,KwaZulu-Natal,Works,open,2024-10-05,c-00000015,28445184.65,1372,a-00000015,27677691.66338408,Supplier_0286,2024,10,4,17.163489482775926,3.756331279945243,1,0,KwaZulu-Natal_Q4,KwaZulu-Natal_Works_Q4,13,0,>3yr
ocds-00000016,eThekwini,Western Cape,Goods,open,2025-07-03,c-00000016,3920631.27,912,a-00000016,4108951.5727085755,Supplier_0099,2025,7,3,15.181763492127615,2.4969199178644765,0,0,Western Cape_Q3,Western Cape_Goods_Q3,8,0,2-3yr
ocds-00000017,eThekwini,Gauteng,Works,open,2023-12-27,c-00000017,7356246.03,862,a-00000017,7205656.750375318,Supplier_0034,2023,12,4,15.811060446252325,2.3600273785078714,1,0,Gauteng_Q4,Gauteng_Works_Q4,68,0,2-3yr
ocds-00000018,City of Cape Town,KwaZulu-Natal,Services,open,2023-09-14,c-00000018,35345335.11,1620,a-00000018,36390824.212430045,Supplier_0316,2023,9,3,17.38067700694925,4.435318275154004,0,0,KwaZulu-Natal_Q3,KwaZulu-Natal_Services_Q3,10,0,>3yr
ocds-00000019,City of Johannesburg,North West,Works,direct,2024-09-15,c-00000019,2830.06,729,a-00000019,2790.493112663236,Supplier_0150,2024,9,3,7.9484064788117195,1.995893223819302,0,0,North West_Q3,North West_Works_Q3,10,0,1-2yr
ocds-00000020,Dept of Health,Gauteng,Goods,open,2024-04-23,c-00000020,1420065.54,1465,a-00000020,1384686.1020231221,Supplier_0124,2024,4,2,14.166214287634517,4.010951403148528,0,0,Gauteng_Q2,Gauteng_Goods_Q2,14,0,>3yr
ocds-00000021,SANRAL,Gauteng,Works,open,2023-07-01,c-00000021,3037562.15,43,a-00000021,3175730.305989165,Supplier_0118,2023,7,3,14.926566156538286,0.11772758384668036,0,0,Gauteng_Q3,Gauteng_Works_Q3,14,0,<3mo
