province,category,quarter,contract_count,median_value,mean_value,total_value,std_value,reliability_tier,opportunity_score,pct_of_national_spend,value_rank,quarter_label,gauteng_flag,median_value_fmt,total_value_fmt
Mpumalanga,Works,3,12,1769180076.0,1858198885.0,22298386620.0,1990764232.63133,High Confidence,25.5525,0.711,1,Q3 (Jul-Sep),0,R1.77B,R22.30B
Eastern Cape,Works,3,98,322100459.0,1716069483.622449,168174809395.0,13586828432.774225,High Confidence,23.5084,5.365,2,Q3 (Jul-Sep),0,R322.10M,R168.17B
Western Cape,Works,3,45,95347075.0,2898860775.498889,130448734897.45,10234747608.070255,High Confidence,22.0476,4.161,3,Q3 (Jul-Sep),0,R95.35M,R130.45B
Limpopo,Works,3,22,89676339.0,881342030.2272727,19389524665.0,2166605326.750777,High Confidence,21.9741,0.618,4,Q3 (Jul-Sep),0,R89.68M,R19.39B
Kwazulu-Natal,Works,3,115,63514557.0,159017919.2521739,18287060714.0,255802759.9052267,High Confidence,21.5601,0.583,5,Q3 (Jul-Sep),0,R63.51M,R18.29B
National,Works,3,18,49447883.5,232568092.16666666,4186225659.0,538764115.2729208,High Confidence,21.2597,0.134,6,Q3 (Jul-Sep),0,R49.45M,R4.19B
Gauteng,Works,3,48,49018451.5,643508940.1770834,30888429128.5,1844899586.826948,High Confidence,21.2492,0.985,7,Q3 (Jul-Sep),1,R49.02M,R30.89B
North West,Works,3,11,44061807.0,419327123.7672727,4612598361.44,1128169909.7858171,High Confidence,21.1213,0.147,8,Q3 (Jul-Sep),0,R44.06M,R4.61B
Limpopo,Unknown,3,18,40947302.5,2303038754.4166665,41454697579.5,8756459241.947063,High Confidence,21.0334,1.322,9,Q3 (Jul-Sep),0,R40.95M,R41.45B
Limpopo,Services,3,39,30000000.0,307895591.0435898,12007928050.7,831096797.3681722,High Confidence,20.66,0.383,10,Q3 (Jul-Sep),0,R30.00M,R12.01B
National,Services,3,57,27477180.0,427458375.46000004,24365127401.22,1129144322.456546,High Confidence,20.5546,0.777,11,Q3 (Jul-Sep),0,R27.48M,R24.37B
Mpumalanga,Services,3,39,26542540.0,189539928.25641027,7392057202.0,343576686.72886914,High Confidence,20.5131,0.236,12,Q3 (Jul-Sep),0,R26.54M,R7.39B
